id_reseller,zone,cluster
500029127,1012,B
500136326,1012,B
500142428,1012,B
500162763,1012,A
500163049,1012,B
500171591,1012,A
500172988,1012,B
500173091,1012,B
500177182,1012,B
500177654,1012,B
500180083,1012,C
500182368,1012,A
500183825,1012,A
500184623,1012,B
500184758,1012,A
500184760,1012,A
500185213,1012,B
500185797,1012,A
500304438,1012,C
500309757,1012,C
500313886,1012,A
500317229,1012,A
500328799,1012,B
500329863,1012,B
500330880,1012,A
500331203,1012,B
500333651,1012,B
500333707,1012,C
500363748,1012,A
500364986,1012,B
500376792,1012,B
500378351,1012,B
500378353,1012,B
500387679,1012,A
500390659,1012,B
500393149,1012,B
500394480,1012,B
500394938,1012,A
500397092,1012,B
500397557,1012,A
500545945,1012,B
500554391,1012,A
500558144,1012,A
500559323,1012,B
500560467,1012,B
500561032,1012,B
500561399,1012,A
500561912,1012,A
500563011,1012,D
500565955,1012,C
500567280,1012,B
500568072,1012,B
500568260,1012,B
500571598,1012,B
500585411,1012,A
500591088,1012,A
500594098,1012,B
500596184,1012,A
500596905,1012,B
500597767,1012,B
500597979,1012,A
500598198,1012,B
500598200,1012,B
500606270,1012,B
500609766,1012,B
500611338,1012,B
500619135,1012,E
500622893,1012,A
500625387,1012,B
500627436,1012,A
500628460,1012,B
500630882,1012,A
500631418,1012,B
500633570,1012,B
500635629,1012,B
500637902,1012,A
500638627,1012,A
500639822,1012,A
500642163,1012,A
500646755,1012,B
500647190,1012,A
500647979,1012,B
500653389,1012,B
500653904,1012,B
500654298,1012,B
500655213,1012,B
500659908,1012,A
500661748,1012,B
500663228,1012,B
500663448,1012,B
500664293,1012,A
500666433,1012,C
500668149,1012,B
500668340,1012,B
500669773,1012,B
500734602,1012,A
500735084,1012,B
500737031,1012,B
500737225,1012,A
500738487,1012,A
500739691,1012,B
500742492,1012,B
500743115,1012,B
500743291,1012,B
500743292,1012,B
500748480,1012,C
500757060,1012,A
500761845,1012,A
500758702,1012,B
500762045,1012,C
500759652,1012,A
500760366,1012,B
500760573,1012,B
500761643,1012,A
500763961,1012,A
500764315,1012,A
500766160,1012,A
500772476,1012,B
500772477,1012,B
500772480,1012,B
500777304,1012,B
500774076,1012,B
500776021,1012,B
500777746,1012,A
500777908,1012,A
500780999,1012,B
500783358,1012,B
500783555,1012,B
500783669,1012,B
500783997,1012,A
500784818,1012,B
500785364,1012,B
500785365,1012,B
500785367,1012,B
500786419,1012,B
500786847,1012,A
500787817,1012,B
500787819,1012,B
500789678,1012,A
500790004,1012,A
500790096,1012,A
500790363,1012,A
500790557,1012,A
500791172,1012,A
500791413,1012,A
500791592,1012,B
500793225,1012,B
500793722,1012,C
500795047,1012,A
500798549,1012,A
500801454,1012,A
500637903,1015,C
500638901,1015,D
500639270,1015,B
500643357,1015,B
500644068,1015,B
500652389,1015,B
500649932,1015,B
500650138,1015,B
500653392,1015,B
500654299,1015,B
500654862,1015,A
500656960,1015,B
500660342,1015,B
500663942,1015,B
500664298,1015,B
500664459,1015,B
500665577,1015,A
500667793,1015,B
500668700,1015,B
500735411,1015,B
500738044,1015,C
500738312,1015,A
500739502,1015,C
500739503,1015,B
500741014,1015,B
500741529,1015,B
500742495,1015,B
500742497,1015,A
500742498,1015,B
500743483,1015,A
500745126,1015,B
500746999,1015,B
500748484,1015,A
500749735,1015,A
500749921,1015,A
500751848,1015,A
500753704,1015,A
500753705,1015,A
500754669,1015,C
500754832,1015,B
500756450,1015,B
500756648,1015,C
500758504,1015,B
500758505,1015,B
500759818,1015,B
500759973,1015,B
500760574,1015,A
500760767,1015,A
500762046,1015,B
500762049,1015,A
500762050,1015,B
500768186,1015,A
500769131,1015,B
500769522,1015,B
500769523,1015,B
500769524,1015,A
500773239,1015,B
500773240,1015,B
500774690,1015,B
500776584,1015,A
500776585,1015,A
500777306,1015,B
500777559,1015,B
500781400,1015,A
500783671,1015,B
500783836,1015,C
500786650,1015,B
500786651,1015,B
500786849,1015,C
500786850,1015,B
500787560,1015,B
500788701,1015,B
500791414,1015,B
500793725,1015,C
500793888,1015,B
500795051,1015,B
500795232,1015,B
500797189,1015,A
500797190,1015,B
500769527,1015,A
500769528,1015,A
500769529,1015,A
500769530,1015,A
500769531,1015,A
499931596,1019,B
499931608,1019,A
499931610,1019,A
499931619,1019,D
499931645,1019,B
499931651,1019,A
499931661,1019,B
499931666,1019,B
499931747,1019,B
499931750,1019,B
499931773,1019,A
499931776,1019,A
499931809,1019,B
499931828,1019,B
499931833,1019,B
499931854,1019,B
499931860,1019,C
499931887,1019,B
499931897,1019,A
499931913,1019,B
499931945,1019,B
499931956,1019,A
499931960,1019,B
499931965,1019,A
499931983,1019,B
499931991,1019,A
499932026,1019,A
499932027,1019,B
499932102,1019,A
499932136,1019,A
499932140,1019,A
499932158,1019,B
499932172,1019,B
499932173,1019,B
499932186,1019,A
499932225,1019,B
499932241,1019,B
499932251,1019,A
499932269,1019,B
499932291,1019,B
499932302,1019,B
499932316,1019,B
499932326,1019,B
499932328,1019,A
499932343,1019,B
499932367,1019,A
499932375,1019,C
499932377,1019,B
499932380,1019,B
499932399,1019,B
