             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE              SIDE        ,,,,,,,,,,,,,,,,,,,,
                M4634596 24878 11/10/2020   16:56:38  16:56:46      8   A5E41637164-04-TOP     GOOD           SV              KOHYOUNG T,,,,,,,,,,,,,,,,,,,,
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm)
1:C633_04,83.386,109.391,91.473,1.211,0.05,48000060,438794,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C633_04,90.694,115.596,94.149,-0.544,1.495,52206390,451630,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:X130_04,131.863,156.656,101.009,1.523,0.473,447447600,2856242,GOOD,S,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:00,124.85,146.906,101.983,1.182,0.607,423647700,2883806,GOOD,,,0.0um,PART12,45,200,60,230,60,170,0.18,0.18
1:00,129.266,154.645,100.307,2.011,0.083,438633000,2836396,GOOD,,,0.0um,PART12,45,200,60,230,60,170,0.18,0.18
1:00,130.687,158.584,98.89,1.691,0.002,443454500,2796336,GOOD,,,0.0um,PART12,45,200,60,230,60,170,0.18,0.18
1:X160_04,59.762,147.099,73.129,0.346,-0.168,343681300,2336401,GOOD,18,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,60.558,149.591,72.868,0.37,-0.078,348257900,2328066,GOOD,14,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,60.536,149.331,72.969,0.484,0.064,348130100,2331273,GOOD,10,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,58.792,147.083,71.95,0.305,-0.174,338102100,2298717,GOOD,8,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,58.779,146.716,72.113,0.439,0.207,338026200,2303944,GOOD,6,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,60.095,148.388,72.897,-0.528,-0.03,345593600,2328988,GOOD,4,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,64.176,156.587,73.772,0.379,0.161,369067600,2356956,GOOD,16,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,63.6,155.054,73.832,0.371,0.302,365749900,2358856,GOOD,12,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,62.19,150.258,74.501,-0.47,0.352,357646600,2380220,GOOD,2,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,59.874,148.307,72.669,1.114,-0.483,344325800,2321710,GOOD,22,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,58.357,143.331,73.287,0.509,-0.329,335601200,2341447,GOOD,18,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,64.57,154.688,75.136,0.772,-0.174,371330700,2400515,GOOD,14,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,60.198,146.175,74.128,0.975,-0.405,346190700,2368329,GOOD,12,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,59.898,144.985,74.363,0.55,-0.11,344460400,2375835,GOOD,8,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,61.777,149.211,74.525,-0.564,0.027,355269200,2380987,GOOD,4,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,62.298,148.725,75.399,-0.549,-0.213,358267500,2408924,GOOD,2,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,62.118,150.988,74.054,0.246,-0.097,357232200,2365966,GOOD,20,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,59.553,146.676,73.083,0.481,-0.562,342479500,2334944,GOOD,16,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,57.172,140.232,73.386,0.462,0.131,328788200,2344596,GOOD,10,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,59.136,142.92,74.479,0.342,0.267,340081300,2379517,GOOD,6,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:00,108.569,131.023,99.435,1.85,1.062,32030440,244465,GOOD,,,49.6um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,101.885,125.364,97.525,3.16,-0.258,30058620,239770,GOOD,,,48.9um,PART6,45,200,60,230,60,170,0.18,0.18
1:C910_04,87.489,108.98,96.336,-0.154,0.252,205441300,1885127,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:00,102.993,133.476,92.595,1.97,1.19,30385560,227649,GOOD,,,54.8um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,98.469,128.81,91.735,3.139,-0.126,29050900,225534,GOOD,,,63.2um,PART6,45,200,60,230,60,170,0.18,0.18
1:V902_04,90.146,107.513,100.616,0.21,0.113,563134400,5237827,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,81.428,100.384,97.34,-2.438,0.498,37717330,375731,GOOD,1,,59.1um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,88.999,107.653,99.206,1.077,0.315,41224180,382935,GOOD,2,,69.2um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,89.423,105.236,101.969,-0.99,0.133,41420820,393600,GOOD,3,,59.6um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,91.284,108.979,100.516,1.741,-0.05,42282650,387990,GOOD,4,,67.0um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,92.889,109.314,101.969,0.735,-0.233,43026000,393599,GOOD,5,,50.3um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,91.459,109.239,100.469,1.893,1.066,42363850,387810,GOOD,6,,78.4um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,91.205,108.728,100.661,-0.95,0.884,42245980,388549,GOOD,7,,74.3um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,94.873,108.457,104.97,1.599,0.701,43944860,405184,GOOD,8,,49.5um,,45,200,60,230,60,170,0.18,0.18
1:00,106.67,134.528,95.15,1.663,-1.179,31470320,233931,GOOD,,,49.3um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,104.941,130.737,96.323,1.546,-2.49,30960290,236814,GOOD,,,48.5um,PART6,45,200,60,230,60,170,0.18,0.18
1:L903_04,105.071,122.464,102.957,0.098,-0.972,300291300,2452086,GOOD,3,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:L903_04,98.654,115.419,102.569,0.27,-0.65,281951900,2442853,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:R81_04,92.172,124.377,88.928,9.647,0.459,27192990,218633,GOOD,4,,43.0um,,45,200,60,230,60,170,0.18,0.18
1:R81_04,91.542,118.398,92.781,7.971,0.034,27007210,228105,GOOD,3,,57.0um,,45,200,60,230,60,170,0.18,0.18
1:R81_04,88.797,118.563,89.873,8.743,-0.392,26197250,220956,GOOD,2,,59.1um,,45,200,60,230,60,170,0.18,0.18
1:R81_04,86.398,116.037,89.349,8.515,-0.817,25489700,219668,GOOD,1,,40.5um,,45,200,60,230,60,170,0.18,0.18
1:C299_04,79.408,107.021,89.038,0.741,-0.926,45709840,427111,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C299_04,88.85,117.759,90.541,0.526,-0.376,51144900,434319,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:R290_04,100.224,115.796,103.863,2.6,0.183,50372580,435013,GOOD,2,,67.1um,,45,200,60,230,60,170,0.18,0.18
1:R290_04,96.954,119.202,97.602,0.224,-1.143,48728790,408791,GOOD,1,,76.9um,,45,200,60,230,60,170,0.18,0.18
1:00,107.86,135.752,95.344,1.64,-3.543,31821280,234408,GOOD,,,50.1um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,100.483,125.535,96.053,1.238,-4.421,29645030,236150,GOOD,,,55.2um,PART6,45,200,60,230,60,170,0.18,0.18
1:C638_04,86.872,114.432,91.1,0.596,-0.843,50006720,437001,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C639_04,90.913,118.408,92.136,-0.45,1.456,52332680,441970,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:R1108_04,91.011,112.245,97.299,-2.435,-0.967,45742040,407518,GOOD,2,,35.5um,,45,200,60,230,60,170,0.18,0.18
1:R1108_04,103.541,119.766,103.744,-0.864,0.357,52039730,434513,GOOD,1,,39.8um,,45,200,60,230,60,170,0.18,0.18
1:C202_04,79.424,114.695,83.098,0.228,0.112,45719500,398620,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C202_04,88.992,121.404,87.962,-2.4,-1.34,51226670,421951,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:R81_04,89.572,118.259,90.891,9.758,1.751,26426010,223459,GOOD,5,,58.6um,,45,200,60,230,60,170,0.18,0.18
1:R81_04,94.76,117.93,96.424,8.371,1.328,27956560,237061,GOOD,6,,52.8um,,45,200,60,230,60,170,0.18,0.18
1:R81_04,93.249,116.781,95.819,9.004,0.906,27510750,235575,GOOD,7,,43.7um,,45,200,60,230,60,170,0.18,0.18
1:R81_04,92.594,114.516,97.028,8.634,0.483,27317530,238547,GOOD,8,,42.7um,,45,200,60,230,60,170,0.18,0.18
1:C910_04,95.47,116.623,98.235,-0.443,0.23,224182000,1922283,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:R612_04,102.875,121.688,101.448,-0.908,0.092,51704690,424896,GOOD,1,,54.9um,,45,200,60,230,60,170,0.18,0.18
1:R611_04,102.463,120.454,102.076,0.031,-1.198,51497660,427528,GOOD,1,,51.5um,,45,200,60,230,60,170,0.18,0.18
1:R610_04,102.601,121.222,101.567,-1.099,-0.911,51567320,425394,GOOD,1,,61.4um,,45,200,60,230,60,170,0.18,0.18
1:C303_04,83.366,112.831,88.663,-0.547,-1.224,47988460,425313,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C303_04,89.929,118.745,90.88,-2.169,-0.677,51766340,435947,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C613_04,91.2,124.853,87.655,-0.527,0.959,52497650,420476,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C612_04,91.776,121.543,90.611,-0.314,-2.304,52829580,434657,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C611_04,91.836,120.761,91.258,-0.749,0.066,52864080,437759,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:00,76.001,111.586,102.165,4.047,-0.123,47747490,427900,GOOD,,,47.3um,PART10,45,200,60,230,60,170,0.18,0.18
1:00,77.007,113.892,101.421,1.751,-1.55,48379690,424786,GOOD,,,55.2um,PART10,45,200,60,230,60,170,0.18,0.18
1:C286_04,91.162,114.992,95.132,-0.502,-0.676,214064700,1861556,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C286_04,90.05,114.346,94.502,0.276,-0.219,211454300,1849244,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
