             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE        
                MN635582 24566 11/10/2020   11:54:09  11:54:15      6   A5E41637164-04-BOT     FAIL           SV              KOHYOUNG
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),
1:R1002_04,88.424,111.356,95.288,-1.601,-2.027,44441700,399098,GOOD,1,,38.5um,,45,190,60,230,60,170,0.18,0.18,
1:C906_04,80.943,111.833,86.855,-0.592,0.929,46593900,416638,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C12_04,71.513,108.702,78.946,-0.951,-0.026,41165540,378701,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C12_04,77.548,106.796,87.136,-0.869,0.524,44639250,417987,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R4_04,94.270,110.604,102.278,-1.563,0.770,47379900,428375,GOOD,2,,37.8um,,45,190,60,230,60,170,0.18,0.18,
1:R4_04,86.414,106.614,97.264,-1.241,0.106,43431570,407372,GOOD,1,,44.9um,,45,190,60,230,60,170,0.18,0.18,
1:,85.023,112.576,90.631,0.050,1.164,48942450,434751,GOOD,,,0.0um,PART5,45,190,60,230,60,170,0.18,0.18,
1:,96.185,113.963,101.281,-0.940,-1.557,48342630,424197,GOOD,,,49.7um,PART3,45,190,60,230,60,170,0.18,0.18,
1:R212_04,94.057,113.247,99.665,0.105,-0.296,324718900,2867350,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,83.139,106.607,93.583,-0.660,0.286,195305200,1832009,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:,86.917,108.897,95.780,-0.171,-0.262,204181600,1875006,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:R262_04,88.729,108.044,98.548,0.082,-0.349,306326200,2835198,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C721_04,80.974,108.985,89.158,-0.845,-1.225,46611440,427687,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,86.910,108.556,96.072,-0.544,-0.110,204164900,1880729,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
