             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE        
                MN634850 24857 11/10/2020   16:43:32  16:43:40      8   A5E41637164-04-TOP     FAIL           SV              KOHYOUNG
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),
1:R81_04,89.280,120.439,88.954,7.167,1.177,26339730,218698,GOOD,5,,48.9um,,45,200,60,230,60,170,0.18,0.18,
1:R81_04,93.068,124.655,89.593,9.072,0.723,27457480,220268,GOOD,6,,63.6um,,45,200,60,230,60,170,0.18,0.18,
1:R81_04,91.098,119.854,91.208,8.130,0.270,26876070,224240,GOOD,7,,43.0um,,45,200,60,230,60,170,0.18,0.18,
1:R81_04,89.135,112.815,94.812,4.755,-0.183,26296980,233098,GOOD,8,,55.7um,,45,200,60,230,60,170,0.18,0.18,
1:C910_04,89.305,114.249,93.801,0.460,0.008,209704900,1835513,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R612_04,96.765,119.415,97.239,-1.096,0.491,48634080,407271,GOOD,1,,81.0um,,45,200,60,230,60,170,0.18,0.18,
1:R611_04,95.389,116.845,97.965,-0.157,-0.891,47942220,410308,GOOD,1,,52.1um,,45,200,60,230,60,170,0.18,0.18,
1:R610_04,96.350,117.455,98.437,-1.287,-0.881,48425220,412287,GOOD,1,,72.6um,,45,200,60,230,60,170,0.18,0.18,
1:C303_04,78.982,107.842,87.886,1.986,-1.557,45464760,421587,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C303_04,82.772,115.234,86.195,1.103,-0.971,47646320,413473,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C613_04,82.822,115.116,86.336,-0.714,-2.302,47675460,414151,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C612_04,84.652,116.624,87.102,-0.502,-2.106,48728740,417827,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C611_04,83.475,115.252,86.914,-0.936,0.169,48051140,416923,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,74.707,109.841,102.021,0.026,-0.370,46934920,427299,GOOD,,,75.4um,PART10,45,200,60,230,60,170,0.18,0.18,
1:,69.619,104.385,100.042,1.631,-1.758,43738160,419009,GOOD,,,62.7um,PART10,45,200,60,230,60,170,0.18,0.18,
1:C286_04,86.108,110.081,93.866,-0.663,-0.703,202197000,1836799,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C286_04,80.783,104.557,92.715,-0.012,-0.284,189694600,1814275,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R203_04,98.189,116.314,101.301,-0.524,1.855,134792300,1158863,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,81.075,110.461,88.076,0.989,2.623,46669450,422498,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18,
1:,82.007,112.093,87.792,-0.054,1.136,47205840,421133,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18,
1:C1103_04,90.561,117.607,92.404,-1.251,0.453,134938100,1147370,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C1103_04,82.471,106.818,92.648,0.079,-0.027,122883200,1150397,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:L903_04,94.495,114.355,99.160,-0.565,0.410,270066200,2361644,GOOD,4,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:L903_04,97.090,117.151,99.451,-0.170,-0.519,277482000,2368592,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:X130_04,80.995,141.120,68.874,-0.009,0.198,327221100,2318751,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:X130_04,84.743,138.791,73.270,0.131,-0.063,342363500,2466750,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
